start_ms, end_ms, text
0, 25038, こんちにわー！ぼく、ずんだもんなのだー！株式会社ずんだもん技術室AI放送局、きょーも元気にオープンなのだ！2025年9月10日、水曜日！きょーわ、最近とくに注目されてるAIの最新ニュースを、ぼくが楽しくわかりやすく紹介するのだ！
25038, 35862, きょーわ、ぜんぶで4つの記事を紹介するのだ！盛りだくさんなのだー！じゃあ、さっそくひとつ目の記事なのだ！「セイフティーキット’
35862, 42012, s blueprint for scaling risk agents with OpenAI
42012, 59471, ’s モウスト ケイパブル モデルズ」というタイトルの記事なのだ！この記事わ、オンラインの世界をもっと安全にするために、オープンエーアイさんの最新AIモデルをどうやって使ってるか、というお話なのだ。
59471, 82083, みんな、オンラインショッピングとか、スマホで支払いする時、安心して使えてるかな？実わその裏側で、セイフティーキットっていう会社が、AIエージェントっていうすごいシステムを使って、詐欺とか、変な商品がないかとか、法律違反がないかとかをチェックしてくれてるのだ！
82083, 87275, 彼らが使ってるのが、オープンエーアイさんのAIモデルなのだ。
87275, 114569, 特に、まだ公開されてない「GPT-5」と、たくさんの仕事を安定してこなす「GPT-4.1」を賢く使い分けてるらしいのだ！たとえば、GPT-5わ、テキストだけじゃなくて、画像とか、UIとか、いろんな情報をまとめて分析して、複雑なリスクを見つけ出すのが得意なのだ！
114569, 139079, まるで名探偵さんみたいに、隠された手がかりを見つけて事件を解決するイメージなのだ！ぼくのずんだアローも、もっと賢く悪いやつを見つけてくれるようになるのだ！GPT-4.1わ、たくさんの利用規約とかポリシーに厳しく従って、コンテンツがルール通りかちゃんとチェックする係みたいな感じなのだ。
139079, 162607, この2つを組み合わせることで、なんと95%以上の高い精度で、オンライン上の全部のコンテンツをしっかり見守ってくれてるってゆーんだから、すごいのだ！グレーゾーンの判断とか、人間でも迷っちゃうような複雑なことでも、GPT-5がピピッと正確に判断してくれるらしいのだ。
162607, 176909, 新しいAIモデルが出ると、すぐに試して、よければ導入するっていうスピード感も、すごいなーって思うのだ！こうやって、ぼくたちのインターネットライフを守ってくれてるのだね！
